ProductID,ProductName,Category,UnitPrice
1,Morph distributed applications,Office Supplies,216.46
2,Maximize best-of-breed web-readiness,Furniture,216.46
3,Disintermediate out-of-the-box interfaces,Office Supplies,216.46
4,E-enable wireless deliverables,Office Supplies,216.46
5,Deliver compelling e-markets,Technology,216.46
6,Disintermediate impactful functionalities,Technology,216.46
7,Implement compelling markets,Office Supplies,216.46
8,Facilitate granular partnerships,Technology,216.46
9,Re-intermediate cross-platform eyeballs,Furniture,216.46
10,Engineer innovative paradigms,Furniture,216.46
11,Facilitate transparent info-mediaries,Technology,216.46
12,Brand scalable networks,Furniture,216.46
13,Redefine frictionless mindshare,Technology,216.46
14,Enhance compelling architectures,Office Supplies,216.46
15,Extend mission-critical e-tailers,Office Supplies,216.46
16,Incentivize bricks-and-clicks content,Furniture,216.46
17,Synthesize cross-platform action-items,Technology,216.46
18,Productize out-of-the-box functionalities,Technology,216.46
19,Engage one-to-one applications,Furniture,216.46
20,Strategize web-enabled vortals,Office Supplies,216.46
21,Matrix 24/365 niches,Furniture,216.46
22,Morph intuitive niches,Office Supplies,216.46
23,Seize synergistic infrastructures,Technology,216.46
24,Transition scalable schemas,Office Supplies,216.46
25,Mesh dynamic supply-chains,Furniture,216.46
26,Empower transparent web-readiness,Technology,216.46
27,Brand clicks-and-mortar experiences,Furniture,216.46
28,Architect cutting-edge models,Furniture,216.46
29,Maximize viral e-business,Office Supplies,216.46
30,Mesh e-business bandwidth,Furniture,216.46
31,Architect synergistic paradigms,Office Supplies,216.46
32,Implement leading-edge communities,Technology,216.46
33,Engineer out-of-the-box partnerships,Office Supplies,216.46
34,Exploit granular initiatives,Technology,216.46
35,Benchmark end-to-end mindshare,Office Supplies,216.46
36,Leverage impactful eyeballs,Furniture,216.46
37,Re-intermediate next-generation partnerships,Office Supplies,216.46
38,Strategize best-of-breed roi,Office Supplies,216.46
39,Facilitate 24/365 vortals,Technology,216.46
40,Revolutionize integrated channels,Furniture,216.46
41,Deliver plug-and-play relationships,Office Supplies,216.46
42,Enable seamless action-items,Furniture,216.46
43,Deploy holistic action-items,Office Supplies,216.46
44,Embrace web-enabled channels,Office Supplies,216.46
45,Architect turn-key paradigms,Furniture,216.46
46,Maximize b2b eyeballs,Office Supplies,216.46
47,Deliver efficient synergies,Furniture,216.46
48,Transform collaborative solutions,Office Supplies,216.46
49,Transition collaborative web services,Technology,216.46
50,Synergize efficient interfaces,Furniture,216.46
51,Enable granular partnerships,Office Supplies,216.46
52,Streamline magnetic e-markets,Office Supplies,216.46
53,Expedite intuitive initiatives,Technology,216.46
54,Deliver wireless schemas,Furniture,216.46
55,Empower strategic partnerships,Office Supplies,216.46
56,Incentivize rich e-commerce,Technology,216.46
57,Redefine synergistic portals,Office Supplies,216.46
58,Drive impactful schemas,Furniture,216.46
59,Revolutionize one-to-one users,Office Supplies,216.46
60,Target clicks-and-mortar deliverables,Office Supplies,216.46
61,Reinvent global methodologies,Office Supplies,216.46
62,Scale scalable functionalities,Office Supplies,216.46
63,Orchestrate viral paradigms,Technology,216.46
64,Engage customized networks,Technology,216.46
65,Envisioneer cross-media networks,Furniture,216.46
66,Transition b2c e-services,Technology,216.46
67,Engineer transparent e-tailers,Technology,216.46
68,Brand seamless solutions,Furniture,216.46
69,Optimize bleeding-edge channels,Technology,216.46
70,Synthesize cross-media schemas,Technology,216.46
71,Deploy revolutionary convergence,Furniture,216.46
72,Strategize plug-and-play e-services,Furniture,216.46
73,Redefine dynamic niches,Furniture,216.46
74,Incubate b2c e-business,Office Supplies,216.46
75,Aggregate innovative applications,Office Supplies,216.46
76,Innovate transparent methodologies,Furniture,216.46
77,Empower plug-and-play niches,Furniture,216.46
78,Transition transparent technologies,Furniture,216.46
79,Enhance global e-markets,Office Supplies,216.46
80,Engineer virtual e-services,Office Supplies,216.46
81,Cultivate leading-edge markets,Technology,216.46
82,Disintermediate enterprise models,Technology,216.46
83,Syndicate granular action-items,Furniture,216.46
84,Synergize killer roi,Office Supplies,216.46
85,Reinvent plug-and-play relationships,Office Supplies,216.46
86,Whiteboard cross-media e-business,Office Supplies,216.46
87,Reinvent plug-and-play interfaces,Furniture,216.46
88,Expedite sticky relationships,Technology,216.46
89,Envisioneer frictionless web-readiness,Furniture,216.46
90,Re-contextualize integrated platforms,Technology,216.46
91,Strategize end-to-end solutions,Technology,216.46
92,Enable sticky applications,Furniture,216.46
93,Enhance turn-key vortals,Technology,216.46
94,Unleash seamless systems,Technology,216.46
95,Target vertical models,Office Supplies,216.46
96,Synthesize open-source e-commerce,Technology,216.46
97,E-enable turn-key functionalities,Furniture,216.46
98,Innovate value-added initiatives,Furniture,216.46
99,Extend viral architectures,Technology,216.46
100,Strategize web-enabled web-readiness,Office Supplies,216.46
